,majorGroup,familyName,genusName,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,redlistIndex,image_inaturalist,licence
426,Dicot,PLUMBAGINACEAE,Limonium,5997632,165263,Limonium perezii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,perezii,NA,NA,NA,(Stapf) F.T.Hubb.,Vulnerable,D1+2,3.1,Stable,Global & Europe,3,,
427,Dicot,PEDALIACEAE,Uncarina,79060361,79060356,Uncarina stellulifera,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,stellulifera,NA,NA,NA,Humbert,Near Threatened,"B1ab(i,ii,iii,v)",3.1,Decreasing,Global,2,,
428,Dicot,MYRICACEAE,Myrica,67730167,64318305,Myrica gale,PLANTAE,TRACHEOPHYTA,FAGALES,MAGNOLIOPSIDA,gale,NA,NA,NA,L.,Least Concern,,3.1,Unknown,Global,1,,
429,Dicot,APOCYNACEAE,Pentopetia,70111352,70102394,Pentopetia grevei,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,grevei,NA,NA,NA,(Baill.) Venter,Least Concern,,3.1,Unknown,Global,1,,
430,Dicot,FABACEAE,Enterolobium,149017370,62025161,Enterolobium cyclocarpum,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,cyclocarpum,NA,NA,NA,(Jacq.) Griseb.,Least Concern,,3.1,Stable,Global,1,,
431,Dicot,ANACARDIACEAE,Metopium,149062143,61984043,Metopium brownei,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,brownei,NA,NA,NA,(Jacq.) Urb.,Least Concern,,3.1,Stable,Global,1,,
432,Dicot,NAMACEAE,Nama,192138811,192003644,Nama jamaicensis,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,jamaicensis,NA,NA,NA,L.,Least Concern,,3.1,Stable,Global,1,,
433,Dicot,OROBANCHACEAE,Odontites,5516712,161941,Odontites hollianus,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,hollianus,NA,NA,NA,Benth.,Data Deficient,,3.1,Unknown,Global & Europe,0,,
434,Dicot,EHRETIACEAE,Tiquilia,61483018,39107,Tiquilia galapagoa,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,galapagoa,NA,NA,NA,(J.T.Howell) A.T.Richardson,Least Concern,,3.1,Stable,Global,1,,
435,Dicot,CELASTRACEAE,Tripterygium,147625023,147625021,Tripterygium wilfordii,PLANTAE,TRACHEOPHYTA,CELASTRALES,MAGNOLIOPSIDA,wilfordii,NA,NA,NA,Hook.f.,Least Concern,,3.1,Stable,Global,1,,
436,Dicot,CARYOPHYLLACEAE,Polycarpaea,107468332,107428130,Polycarpaea gayi,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,gayi,NA,NA,NA,Webb,Near Threatened,B1ab(iii)+2ab(iii),3.1,Unknown,Global,2,,
437,Dicot,MELASTOMATACEAE,Dissotis,66151058,66151055,Dissotis pulchra,PLANTAE,TRACHEOPHYTA,MYRTALES,MAGNOLIOPSIDA,pulchra,NA,NA,NA,A.Fern. &amp; R.Fern.,Vulnerable,D2,3.1,Decreasing,Global,3,,
438,Dicot,RUTACEAE,Chorilaena,172928314,172928312,Chorilaena quercifolia,PLANTAE,TRACHEOPHYTA,SAPINDALES,MAGNOLIOPSIDA,quercifolia,NA,NA,NA,Endl.,Least Concern,,3.1,Stable,Global,1,,
439,Dicot,CISTACEAE,Tuberaria,5514006,161921,Tuberaria major,PLANTAE,TRACHEOPHYTA,MALVALES,MAGNOLIOPSIDA,major,NA,NA,NA,(Willk.) P.Silva &amp; Rozeira,Endangered,B1ab(iii),3.1,Decreasing,Global & Europe,4,,
440,Dicot,GERANIACEAE,Pelargonium,120202754,120202748,Pelargonium luridum,PLANTAE,TRACHEOPHYTA,GERANIALES,MAGNOLIOPSIDA,luridum,NA,NA,NA,(Andrews) Sweet,Least Concern,,3.1,Stable,Global,1,,
